director,stars,country,url,Release Year,Released,plot
Damian Lee,"Jesse Ventura, Sven-Ole Thorsen, Damian Lee",United States,"https://en.wikipedia.org/wiki/Abraxas,_Guardian_of_the_Universe",1991,3/1/1991,"An alien ""policeman"" arrives on Earth to apprehend a renegade of his own race who impregnates a woman with a potentially destructive mutant embryo."
"Corey Yuen, Jeffrey Lau","Stephen Chow, Ng Man Tat",Hong Kong,https://en.wikipedia.org/wiki/All_for_the_Winner,1990,6/10/1990,"A man discovers that his dumb, lovable nephew can see through objects and decides to unleash him into the world of gambling."
Walter Hill,"Nick Nolte, Eddie Murphy",United States,https://en.wikipedia.org/wiki/Another_48_Hrs.,1990,6/8/1990,"Jack Cates once again enlists the aid of ex-con Reggie Hammond--this time, to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area."
Albert Pyun,Matt Salinger,United StatesYugoslavia,https://en.wikipedia.org/wiki/Captain_America_(1990_film),1990,12/14/1990,"Frozen in the ice for decades, Captain America is freed to battle against archcriminal The Red Skull."
Sam Raimi,"Liam Neeson, Frances McDormand",United States,https://en.wikipedia.org/wiki/Darkman,1990,8/24/1990,A brilliant scientist left for dead returns to exact revenge on the people who burned him alive.
Aaron Norris,"Chuck Norris, Billy Drago, Bobby Chavez",United States,https://en.wikipedia.org/wiki/Delta_Force_2:_The_Colombian_Connection,1990,8/24/1990,Add a Plot »
Warren Beatty,"Warren Beatty, Madonna",United States,https://en.wikipedia.org/wiki/Dick_Tracy_(1990_film),1990,6/14/1990,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.
Bruce Malmuth,"Steven Seagal, Kelly Le Brock, Bill Sadler",United States,https://en.wikipedia.org/wiki/Hard_to_Kill,1990,2/9/1990,"Left for dead with his wife killed in their house, L.A. Detective Mason Storm will have to make a quick recovery, expose those behind the murder and take revenge."
Craig R. Baxley,"Dolph Lundgren, Betsy Brantley, Brian Benben",United States,https://en.wikipedia.org/wiki/I_Come_in_Peace,1990,9/28/1990,Add a Plot »
Sheldon Lettich,Jean-Claude Van Damme,United States,https://en.wikipedia.org/wiki/Lionheart_(1990_film),1991,1/11/1991,An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.
William Lustig,"Robert Davi, Claudia Christian, Michael Lerner",United States,https://en.wikipedia.org/wiki/Maniac_Cop_2,1990,1990,"A supernatural, maniac killer cop teams up with a Times Square serial killer."
Dwight H. Little,"Steven Seagal, Basil Wallace, Keith David",United States,https://en.wikipedia.org/wiki/Marked_for_Death,1990,10/5/1990,A retired DEA agent is out to hunt down and take out a Jamaican drug posse that has targeted he and his family for murder.
Peter Hyams,"Gene Hackman, Anne Archer, James B. Sikking",United States,https://en.wikipedia.org/wiki/Narrow_Margin,1990,9/21/1990,A Los Angeles Deputy District Attorney is sent to protect a woman who accidentally witnessed a Mafia murder.
Kevin S. Tenney,"Robert Forster, Lance Edwards, Hilary Shepard",United States,https://en.wikipedia.org/wiki/Peacemaker_(1990_film),1990,7/2/1990,Add a Plot »
