movie_id,movie,director,stars,country,url,release_year,released,plot
20,Final Impact,Joseph Merhi,"Lorenzo Lamas, Kathleen Kinmont, Gary Daniels",United States,//upload.wikimedia.org/wikipedia/en/thumb/1/13/Final_Impact.jpg/220px-Final_Impact.jpg,1991,1991,"Ex-world champion, Nick takes lightweight kickboxer, Danny under his wing. After being dethroned by Joe, Nick must prepare Danny in Las Vegas for a battle he lost to the same fighter which led to alcoholism and the loss of his girlfriend Maggie."
298,The Legend II (Fong Sai-yuk II),Corey Yuen,"Jet Li, Sibelle Hu, Amy Kwok",Hong Kong,//upload.wikimedia.org/wikipedia/en/thumb/9/95/Fong_sai_yuk_2_dvd.jpg/220px-Fong_sai_yuk_2_dvd.jpg,1993,7/30/1993,"The Cantonese hero Fong Sai Yuk becomes involved in the secret brotherhood ""The Red Flower"", who are trying to overthrow the Manchurian emperor and re-establishing the Ming dynasty. The social upheaval is combined with Sai Yuk's personal moral conflict about how to conform to the rigid regime of the brotherhood and on top of that sort out his difficult love life, saddled with two presumptive wives."
33,The Heroic Trio,Johnnie To,"Maggie Cheung, Michelle Yeoh, Anita Mui",Hong Kong,//upload.wikimedia.org/wikipedia/en/thumb/b/b8/TheHeroicTrio.jpg/220px-TheHeroicTrio.jpg,1993,2/12/1993,"In Hong Kong, babies are being kidnapped by the Invisible Woman (Michelle Yeoh) for the Evil Master (Yee Kwan Yan), who plans to raise them to become unbeatable warriors. The Invisible Woman's sister, Tung (Anita Mui), married to the police officer investigating the kidnappings, secretly fights crime as Wonder Woman. When the Invisible Woman reconnects with her sister and her childhood friend, Thief Catcher (Maggie Cheung), they convince her to team up with them to defeat the Evil Master."
325,The Expert,William Lustig,"Jeff Speakman, James Brolin, Jim Varney",United States,//upload.wikimedia.org/wikipedia/en/thumb/1/11/Expert95poster.jpg/220px-Expert95poster.jpg,1995,4/6/1995,The Expert/Film synopsis A special forces instructor (Jeff Speakman) gets revenge on the prison inmate who murdered his sister.
42,Bounty Tracker,Kurt Anderson,"Lorenzo Lamas, Matthias Hues, Cyndi Pass",GermanyUnited States,"https://ia.media-imdb.com/images/M/MV5BMTE5OTM2OTMxNF5BMl5BanBnXkFtZTYwMzA3MjA5._V1_UY1200_CR14,0,630,1200_AL_.jpg",1993,9/8/1993,"The staff in a tax consultant office is brutally murdered by a team of professional killers. Only Paul Damone escapes. Paul didn't know that his partner, Greco, used to launder money for gangster, and was to testify as a chief witness at his upcoming trial. Paul's brother, Johnny, is the best bounty tracker in Boston. He visit's Paul, only to find his brother's house surrounded by police assigned to protect him. When those who don't want him to testify kill Paul, Johnny tracks down the killer."
351,A Hero Never Dies,Johnnie To,"Leon Lai, Lau Ching-Wan, Fiona Leung",Hong Kong,//upload.wikimedia.org/wikipedia/en/thumb/0/0a/A-hero-never-dies-poster.jpg/220px-A-hero-never-dies-poster.jpg,1998,9/30/1998,Jack (Leon Lai) and Martin (Ching-Wan Lau) are gunmen who work for two rival kingpins. Jack and Martin have been fighting on their bosses behalf for close to a year. When a truce is made both Jack and Martin are cut loose. The two men then decide to join forces and take on the gangsters who used them.
56,Point of No Return,John Badham,"Bridget Fonda, Gabriel Byrne, Dermot Mulroney",United States,//upload.wikimedia.org/wikipedia/en/thumb/c/c9/Pointofnoreturn.jpg/220px-Pointofnoreturn.jpg,1993,3/19/1993,"Louis Stevens' (Mark Dacascos) service as a member of an elite military unit kept him out of the country for several years. Now that he's back home in Florida, he's dismayed at what's become of his old high school. He sees that drug dealers, dispatched by local overlord Silverio (Paco Christian Prieto), sell on school grounds with little fear of getting caught. A skilled martial artist, Louis is determined to end the drug peddling, but to do so he'll probably have to duke it out with Silverio."
55,Only the Strong,Sheldon Lettich,"Mark Dacascos, Stacey Travis, Geoffrey Lewis",United States,//upload.wikimedia.org/wikipedia/en/thumb/c/ca/Only_the_Strong.jpg/220px-Only_the_Strong.jpg,1993,8/27/1993,"Louis Stevens' (Mark Dacascos) service as a member of an elite military unit kept him out of the country for several years. Now that he's back home in Florida, he's dismayed at what's become of his old high school. He sees that drug dealers, dispatched by local overlord Silverio (Paco Christian Prieto), sell on school grounds with little fear of getting caught. A skilled martial artist, Louis is determined to end the drug peddling, but to do so he'll probably have to duke it out with Silverio."
85,Don't Give a Damn,Sammo Hung,"Sammo Hung, Yuen Biao",Hong Kong,//upload.wikimedia.org/wikipedia/en/thumb/4/49/DontGiveaDamn.jpg/220px-DontGiveaDamn.jpg,1995,2/17/1995,"Sammo Hung plays a cop on the trail of drug dealers. Customs officer Yuen Biao is investigating the same gang. Sammo’s new partner is eager-beaver Takeshi Kaneshiro. Despite each having their own ideas on how best to proceed, they are teamed together and must put aside their differences in order to crack the case. Romance, plot twists, comedic asides, and, of course, plenty of fights bring the film to a climatic and bruising conclusion"
94,Mortal Kombat,Paul W.S. Anderson,"Robin Shou, Linden Ashby, Bridgette Wilson",United States,//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Mortal_Kombat_poster.jpg/220px-Mortal_Kombat_poster.jpg,1995,8/18/1995,"Lord Rayden (Christopher Lambert) handpicks three martial artists -- federal agent Sonya Blade (Bridgette Wilson), Shaolin monk Lui Kang (Robin Shou) and action movie sensation Johnny Cage (Linden Ashby) -- and mentors them. After intense training, Rayden transports the trio to Outworld, the site of an inter-dimensional fighting tournament. There, the three humans must defeat the demonic warriors of the evil Shang Sung (Cary-Hiroyuki Tagawa) -- or allow Sung to take over the Earth."
